Score: 179460, Level: 15, Lines Cleared: 147
Score: 109160, Level: 11, Lines Cleared: 107
Score: 152440, Level: 17, Lines Cleared: 167
Score: 712760, Level: 29, Lines Cleared: 414
Score: 124880, Level: 14, Lines Cleared: 134
Score: 79480, Level: 14, Lines Cleared: 131
Score: 340480, Level: 24, Lines Cleared: 234
Score: 116460, Level: 15, Lines Cleared: 148
Score: 473260, Level: 27, Lines Cleared: 263
Score: 371060, Level: 22, Lines Cleared: 214
Score: 168060, Level: 15, Lines Cleared: 149
Score: 51420, Level: 7, Lines Cleared: 69
Score: 367380, Level: 23, Lines Cleared: 223
Score: 882880, Level: 29, Lines Cleared: 381
Score: 659960, Level: 29, Lines Cleared: 340
Score: 36860, Level: 6, Lines Cleared: 54
Score: 356680, Level: 25, Lines Cleared: 242
Score: 748060, Level: 29, Lines Cleared: 369
Score: 39480, Level: 7, Lines Cleared: 69
Score: 1537300, Level: 29, Lines Cleared: 439
Score: 138260, Level: 13, Lines Cleared: 129
Score: 134760, Level: 16, Lines Cleared: 154
Score: 560620, Level: 25, Lines Cleared: 248
Score: 90040, Level: 13, Lines Cleared: 124
Score: 161980, Level: 15, Lines Cleared: 140
Score: 59560, Level: 11, Lines Cleared: 102
Score: 151840, Level: 16, Lines Cleared: 158
Score: 52400, Level: 7, Lines Cleared: 63
Score: 468520, Level: 27, Lines Cleared: 269
Score: 1238560, Level: 29, Lines Cleared: 478
Score: 680760, Level: 29, Lines Cleared: 347
Score: 83240, Level: 12, Lines Cleared: 113
Score: 358440, Level: 21, Lines Cleared: 206
Score: 102540, Level: 12, Lines Cleared: 115
Score: 288500, Level: 19, Lines Cleared: 186
Score: 312240, Level: 21, Lines Cleared: 208
Score: 140380, Level: 18, Lines Cleared: 173
Score: 402420, Level: 23, Lines Cleared: 224
Score: 35640, Level: 9, Lines Cleared: 88
Score: 211140, Level: 16, Lines Cleared: 159
Score: 372040, Level: 24, Lines Cleared: 237
Score: 1034460, Level: 29, Lines Cleared: 503
Score: 577880, Level: 29, Lines Cleared: 316
Score: 50600, Level: 7, Lines Cleared: 69
Score: 211520, Level: 22, Lines Cleared: 214
Score: 737460, Level: 29, Lines Cleared: 341
Score: 508900, Level: 29, Lines Cleared: 307
Score: 931980, Level: 29, Lines Cleared: 451
Score: 43140, Level: 8, Lines Cleared: 72
Score: 345640, Level: 27, Lines Cleared: 265
Score: 52240, Level: 7, Lines Cleared: 68
Score: 1288960, Level: 29, Lines Cleared: 483
Score: 279760, Level: 22, Lines Cleared: 210
Score: 140920, Level: 15, Lines Cleared: 141
Score: 247260, Level: 17, Lines Cleared: 169
Score: 1843980, Level: 29, Lines Cleared: 623
Score: 147740, Level: 13, Lines Cleared: 128
Score: 105080, Level: 12, Lines Cleared: 114
Score: 115360, Level: 16, Lines Cleared: 150
Score: 194280, Level: 18, Lines Cleared: 171
Score: 573280, Level: 29, Lines Cleared: 308
Score: 54140, Level: 7, Lines Cleared: 69
Score: 47420, Level: 7, Lines Cleared: 62
Score: 328620, Level: 22, Lines Cleared: 211
Score: 1218480, Level: 29, Lines Cleared: 474
Score: 84380, Level: 11, Lines Cleared: 106
Score: 1052600, Level: 29, Lines Cleared: 420
Score: 111020, Level: 13, Lines Cleared: 124
Score: 23080, Level: 6, Lines Cleared: 50
Score: 511580, Level: 26, Lines Cleared: 255
Score: 78320, Level: 11, Lines Cleared: 108
Score: 1066080, Level: 29, Lines Cleared: 451
Score: 272720, Level: 21, Lines Cleared: 205
Score: 639660, Level: 29, Lines Cleared: 354
Score: 26480, Level: 5, Lines Cleared: 48
Score: 164100, Level: 19, Lines Cleared: 183
Score: 69700, Level: 11, Lines Cleared: 105
Score: 181060, Level: 20, Lines Cleared: 190
Score: 147340, Level: 14, Lines Cleared: 136
Score: 62840, Level: 10, Lines Cleared: 90
Score: 143740, Level: 12, Lines Cleared: 115
Score: 362460, Level: 22, Lines Cleared: 219
Score: 451440, Level: 29, Lines Cleared: 328
Score: 293480, Level: 24, Lines Cleared: 234
Score: 262100, Level: 20, Lines Cleared: 191
Score: 324680, Level: 22, Lines Cleared: 216
Score: 319920, Level: 21, Lines Cleared: 205
Score: 107580, Level: 12, Lines Cleared: 119
Score: 242820, Level: 22, Lines Cleared: 211
Score: 103440, Level: 12, Lines Cleared: 113
Score: 1284740, Level: 29, Lines Cleared: 425
Score: 576660, Level: 29, Lines Cleared: 350
Score: 1011780, Level: 29, Lines Cleared: 478
Score: 18720, Level: 4, Lines Cleared: 37
Score: 222920, Level: 19, Lines Cleared: 184
Score: 346940, Level: 23, Lines Cleared: 224
Score: 187060, Level: 17, Lines Cleared: 161
Score: 386380, Level: 23, Lines Cleared: 228
Score: 197360, Level: 20, Lines Cleared: 196
Score: 88400, Level: 13, Lines Cleared: 125
