Score: 400, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 5240, Level: 1, Lines Cleared: 3
Score: 0, Level: 1, Lines Cleared: 0
Score: 1600, Level: 1, Lines Cleared: 0
Score: 960, Level: 1, Lines Cleared: 0
Score: 560, Level: 1, Lines Cleared: 1
Score: 960, Level: 1, Lines Cleared: 0
Score: 1640, Level: 1, Lines Cleared: 1
Score: 0, Level: 1, Lines Cleared: 0
Score: 2400, Level: 1, Lines Cleared: 7
Score: 3960, Level: 1, Lines Cleared: 7
Score: 0, Level: 1, Lines Cleared: 0
Score: 3120, Level: 1, Lines Cleared: 2
Score: 720, Level: 1, Lines Cleared: 1
Score: 1760, Level: 1, Lines Cleared: 3
Score: 240, Level: 1, Lines Cleared: 0
Score: 1520, Level: 1, Lines Cleared: 1
Score: 320, Level: 1, Lines Cleared: 0
Score: 6960, Level: 1, Lines Cleared: 2
Score: 960, Level: 1, Lines Cleared: 0
Score: 2640, Level: 1, Lines Cleared: 6
Score: 0, Level: 1, Lines Cleared: 0
Score: 2080, Level: 1, Lines Cleared: 4
Score: 0, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 2160, Level: 1, Lines Cleared: 0
Score: 2000, Level: 1, Lines Cleared: 0
Score: 1760, Level: 1, Lines Cleared: 4
Score: 0, Level: 1, Lines Cleared: 0
Score: 7520, Level: 1, Lines Cleared: 7
Score: 3360, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 4440, Level: 3, Lines Cleared: 21
Score: 15380, Level: 4, Lines Cleared: 34
Score: 4480, Level: 1, Lines Cleared: 1
Score: 1520, Level: 1, Lines Cleared: 2
Score: 1120, Level: 1, Lines Cleared: 0
Score: 11400, Level: 1, Lines Cleared: 0
Score: 1040, Level: 1, Lines Cleared: 0
Score: 7440, Level: 1, Lines Cleared: 5
Score: 0, Level: 1, Lines Cleared: 0
Score: 2000, Level: 1, Lines Cleared: 1
Score: 3600, Level: 1, Lines Cleared: 9
Score: 2640, Level: 1, Lines Cleared: 0
Score: 1280, Level: 1, Lines Cleared: 6
Score: 2240, Level: 1, Lines Cleared: 2
Score: 0, Level: 1, Lines Cleared: 0
Score: 6840, Level: 1, Lines Cleared: 8
Score: 0, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 18200, Level: 1, Lines Cleared: 8
Score: 1200, Level: 1, Lines Cleared: 2
Score: 1200, Level: 1, Lines Cleared: 2
Score: 7840, Level: 1, Lines Cleared: 4
Score: 2320, Level: 1, Lines Cleared: 3
Score: 2080, Level: 1, Lines Cleared: 2
Score: 320, Level: 1, Lines Cleared: 0
Score: 2440, Level: 1, Lines Cleared: 1
Score: 0, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 1080, Level: 1, Lines Cleared: 1
Score: 2600, Level: 1, Lines Cleared: 4
Score: 0, Level: 1, Lines Cleared: 0
Score: 1360, Level: 1, Lines Cleared: 5
Score: 3600, Level: 1, Lines Cleared: 5
Score: 480, Level: 1, Lines Cleared: 0
Score: 0, Level: 1, Lines Cleared: 0
Score: 8040, Level: 1, Lines Cleared: 1
Score: 3680, Level: 1, Lines Cleared: 4
Score: 2720, Level: 1, Lines Cleared: 0
Score: 1280, Level: 1, Lines Cleared: 2
Score: 6760, Level: 1, Lines Cleared: 3
Score: 0, Level: 1, Lines Cleared: 0
Score: 1120, Level: 1, Lines Cleared: 0
Score: 3120, Level: 2, Lines Cleared: 10
Score: 2680, Level: 1, Lines Cleared: 3
Score: 0, Level: 1, Lines Cleared: 0
Score: 11560, Level: 1, Lines Cleared: 5
Score: 0, Level: 1, Lines Cleared: 0
Score: 5160, Level: 1, Lines Cleared: 7
Score: 3360, Level: 2, Lines Cleared: 12
Score: 400, Level: 1, Lines Cleared: 0
Score: 800, Level: 1, Lines Cleared: 0
Score: 8600, Level: 1, Lines Cleared: 4
Score: 2240, Level: 1, Lines Cleared: 5
Score: 400, Level: 1, Lines Cleared: 0
Score: 400, Level: 1, Lines Cleared: 4
Score: 480, Level: 1, Lines Cleared: 1
Score: 3280, Level: 1, Lines Cleared: 2
Score: 2480, Level: 1, Lines Cleared: 4
Score: 2160, Level: 1, Lines Cleared: 7
Score: 1600, Level: 1, Lines Cleared: 0
Score: 4960, Level: 1, Lines Cleared: 6
Score: 1400, Level: 1, Lines Cleared: 0
Score: 5280, Level: 1, Lines Cleared: 7
Score: 4100, Level: 2, Lines Cleared: 12
Score: 3760, Level: 1, Lines Cleared: 6
Score: 1480, Level: 1, Lines Cleared: 1
Score: 3040, Level: 1, Lines Cleared: 3
