Score: 17900, Level: 3, Lines Cleared: 29
Score: 94700, Level: 10, Lines Cleared: 93
Score: 126020, Level: 11, Lines Cleared: 108
Score: 57340, Level: 9, Lines Cleared: 82
Score: 158200, Level: 14, Lines Cleared: 134
Score: 13420, Level: 4, Lines Cleared: 30
Score: 43880, Level: 6, Lines Cleared: 59
Score: 20920, Level: 5, Lines Cleared: 43
Score: 11100, Level: 3, Lines Cleared: 26
Score: 9200, Level: 3, Lines Cleared: 25
Score: 25920, Level: 5, Lines Cleared: 43
Score: 34180, Level: 5, Lines Cleared: 47
Score: 10980, Level: 3, Lines Cleared: 27
Score: 82700, Level: 11, Lines Cleared: 101
Score: 8080, Level: 3, Lines Cleared: 25
Score: 5860, Level: 2, Lines Cleared: 15
Score: 196720, Level: 16, Lines Cleared: 159
Score: 50940, Level: 8, Lines Cleared: 79
Score: 19480, Level: 4, Lines Cleared: 37
Score: 17940, Level: 5, Lines Cleared: 40
Score: 198840, Level: 16, Lines Cleared: 156
Score: 43080, Level: 7, Lines Cleared: 65
Score: 15440, Level: 4, Lines Cleared: 36
Score: 48480, Level: 7, Lines Cleared: 68
Score: 70920, Level: 7, Lines Cleared: 67
Score: 184060, Level: 19, Lines Cleared: 182
Score: 15120, Level: 4, Lines Cleared: 35
Score: 85200, Level: 10, Lines Cleared: 95
Score: 51560, Level: 10, Lines Cleared: 92
Score: 177740, Level: 16, Lines Cleared: 152
Score: 44040, Level: 6, Lines Cleared: 55
Score: 98960, Level: 11, Lines Cleared: 102
Score: 20660, Level: 4, Lines Cleared: 38
Score: 72920, Level: 10, Lines Cleared: 93
Score: 16960, Level: 3, Lines Cleared: 29
Score: 39920, Level: 8, Lines Cleared: 73
Score: 100220, Level: 13, Lines Cleared: 121
Score: 129900, Level: 16, Lines Cleared: 155
Score: 70040, Level: 7, Lines Cleared: 67
Score: 110960, Level: 12, Lines Cleared: 114
Score: 111260, Level: 11, Lines Cleared: 101
Score: 58320, Level: 7, Lines Cleared: 68
Score: 85920, Level: 14, Lines Cleared: 131
Score: 34820, Level: 5, Lines Cleared: 46
Score: 31400, Level: 6, Lines Cleared: 50
Score: 38520, Level: 8, Lines Cleared: 75
Score: 48680, Level: 9, Lines Cleared: 82
Score: 30480, Level: 5, Lines Cleared: 43
Score: 19040, Level: 4, Lines Cleared: 33
Score: 43240, Level: 9, Lines Cleared: 83
Score: 67180, Level: 8, Lines Cleared: 76
Score: 16800, Level: 4, Lines Cleared: 34
Score: 43020, Level: 8, Lines Cleared: 72
Score: 24000, Level: 5, Lines Cleared: 43
Score: 29080, Level: 7, Lines Cleared: 62
Score: 15400, Level: 4, Lines Cleared: 33
Score: 20840, Level: 4, Lines Cleared: 39
Score: 36120, Level: 8, Lines Cleared: 71
Score: 6280, Level: 3, Lines Cleared: 24
Score: 9520, Level: 3, Lines Cleared: 21
Score: 46440, Level: 7, Lines Cleared: 68
Score: 194860, Level: 17, Lines Cleared: 166
Score: 13960, Level: 4, Lines Cleared: 30
Score: 20840, Level: 6, Lines Cleared: 56
Score: 118680, Level: 14, Lines Cleared: 139
Score: 23020, Level: 5, Lines Cleared: 40
Score: 115020, Level: 11, Lines Cleared: 106
Score: 6920, Level: 2, Lines Cleared: 19
Score: 77240, Level: 8, Lines Cleared: 78
Score: 218300, Level: 20, Lines Cleared: 193
Score: 76100, Level: 9, Lines Cleared: 86
Score: 81240, Level: 15, Lines Cleared: 142
Score: 9000, Level: 3, Lines Cleared: 21
Score: 33840, Level: 6, Lines Cleared: 52
Score: 31100, Level: 5, Lines Cleared: 46
Score: 78960, Level: 8, Lines Cleared: 79
Score: 22640, Level: 5, Lines Cleared: 40
Score: 24780, Level: 7, Lines Cleared: 62
Score: 13680, Level: 3, Lines Cleared: 28
Score: 23000, Level: 7, Lines Cleared: 64
Score: 136840, Level: 12, Lines Cleared: 113
Score: 33640, Level: 6, Lines Cleared: 56
Score: 21020, Level: 5, Lines Cleared: 45
Score: 56400, Level: 11, Lines Cleared: 107
Score: 70200, Level: 7, Lines Cleared: 69
Score: 107420, Level: 11, Lines Cleared: 106
Score: 29640, Level: 6, Lines Cleared: 59
Score: 76260, Level: 11, Lines Cleared: 101
Score: 20280, Level: 4, Lines Cleared: 36
Score: 51040, Level: 7, Lines Cleared: 66
Score: 66280, Level: 11, Lines Cleared: 102
Score: 18220, Level: 4, Lines Cleared: 33
Score: 19260, Level: 4, Lines Cleared: 39
Score: 43980, Level: 8, Lines Cleared: 72
Score: 39520, Level: 6, Lines Cleared: 54
Score: 37680, Level: 8, Lines Cleared: 70
Score: 16920, Level: 4, Lines Cleared: 35
Score: 71820, Level: 10, Lines Cleared: 98
Score: 67320, Level: 9, Lines Cleared: 83
Score: 58040, Level: 8, Lines Cleared: 70
