Score: 95260, Level: 11, Lines Cleared: 107
Score: 45420, Level: 7, Lines Cleared: 64
Score: 172740, Level: 20, Lines Cleared: 196
Score: 121500, Level: 12, Lines Cleared: 115
Score: 100640, Level: 13, Lines Cleared: 124
Score: 55640, Level: 11, Lines Cleared: 101
Score: 534960, Level: 29, Lines Cleared: 317
Score: 597660, Level: 29, Lines Cleared: 283
Score: 102220, Level: 13, Lines Cleared: 124
Score: 280460, Level: 18, Lines Cleared: 172
Score: 522880, Level: 29, Lines Cleared: 291
Score: 1057920, Level: 29, Lines Cleared: 384
Score: 38960, Level: 6, Lines Cleared: 59
Score: 90100, Level: 11, Lines Cleared: 105
Score: 174800, Level: 19, Lines Cleared: 181
Score: 522040, Level: 26, Lines Cleared: 257
Score: 383140, Level: 26, Lines Cleared: 259
Score: 187600, Level: 18, Lines Cleared: 177
Score: 85640, Level: 10, Lines Cleared: 95
Score: 143520, Level: 17, Lines Cleared: 168
Score: 63420, Level: 7, Lines Cleared: 68
Score: 171760, Level: 16, Lines Cleared: 154
Score: 365080, Level: 23, Lines Cleared: 225
Score: 367420, Level: 24, Lines Cleared: 238
Score: 129940, Level: 14, Lines Cleared: 138
Score: 232080, Level: 21, Lines Cleared: 203
Score: 17000, Level: 4, Lines Cleared: 31
Score: 10380, Level: 3, Lines Cleared: 23
Score: 93300, Level: 11, Lines Cleared: 109
Score: 85720, Level: 10, Lines Cleared: 98
Score: 44740, Level: 6, Lines Cleared: 54
Score: 186280, Level: 17, Lines Cleared: 160
Score: 85360, Level: 10, Lines Cleared: 95
Score: 97980, Level: 13, Lines Cleared: 123
Score: 114000, Level: 15, Lines Cleared: 148
Score: 257780, Level: 17, Lines Cleared: 160
Score: 20000, Level: 6, Lines Cleared: 55
Score: 85780, Level: 11, Lines Cleared: 106
Score: 20440, Level: 5, Lines Cleared: 43
Score: 74120, Level: 10, Lines Cleared: 92
Score: 214680, Level: 16, Lines Cleared: 155
Score: 89540, Level: 13, Lines Cleared: 128
Score: 73900, Level: 9, Lines Cleared: 87
Score: 278220, Level: 21, Lines Cleared: 209
Score: 313620, Level: 25, Lines Cleared: 243
Score: 53960, Level: 8, Lines Cleared: 71
Score: 282980, Level: 20, Lines Cleared: 190
Score: 107100, Level: 14, Lines Cleared: 131
Score: 29880, Level: 7, Lines Cleared: 66
Score: 320200, Level: 23, Lines Cleared: 226
Score: 48460, Level: 9, Lines Cleared: 89
Score: 71580, Level: 9, Lines Cleared: 82
Score: 167820, Level: 17, Lines Cleared: 167
Score: 109840, Level: 12, Lines Cleared: 110
Score: 372900, Level: 26, Lines Cleared: 252
Score: 147300, Level: 15, Lines Cleared: 143
Score: 240420, Level: 17, Lines Cleared: 162
Score: 132780, Level: 15, Lines Cleared: 144
Score: 471700, Level: 29, Lines Cleared: 282
Score: 63940, Level: 12, Lines Cleared: 114
Score: 390400, Level: 29, Lines Cleared: 308
Score: 88760, Level: 11, Lines Cleared: 106
Score: 143980, Level: 15, Lines Cleared: 145
Score: 229760, Level: 17, Lines Cleared: 165
Score: 31040, Level: 6, Lines Cleared: 56
Score: 58020, Level: 8, Lines Cleared: 75
Score: 91900, Level: 10, Lines Cleared: 98
Score: 41960, Level: 6, Lines Cleared: 58
Score: 111060, Level: 12, Lines Cleared: 113
Score: 231320, Level: 21, Lines Cleared: 205
Score: 68360, Level: 10, Lines Cleared: 92
Score: 100920, Level: 13, Lines Cleared: 126
Score: 172880, Level: 16, Lines Cleared: 154
Score: 90320, Level: 9, Lines Cleared: 86
Score: 73960, Level: 11, Lines Cleared: 107
Score: 138240, Level: 14, Lines Cleared: 138
Score: 130900, Level: 15, Lines Cleared: 145
Score: 218660, Level: 19, Lines Cleared: 187
Score: 203800, Level: 20, Lines Cleared: 192
Score: 63240, Level: 8, Lines Cleared: 73
Score: 74840, Level: 12, Lines Cleared: 112
Score: 169020, Level: 16, Lines Cleared: 156
Score: 346020, Level: 21, Lines Cleared: 201
Score: 101660, Level: 10, Lines Cleared: 95
Score: 64400, Level: 8, Lines Cleared: 76
Score: 636560, Level: 29, Lines Cleared: 321
Score: 143960, Level: 15, Lines Cleared: 142
Score: 36880, Level: 6, Lines Cleared: 56
Score: 83940, Level: 12, Lines Cleared: 112
Score: 84020, Level: 11, Lines Cleared: 104
Score: 865020, Level: 29, Lines Cleared: 352
Score: 323300, Level: 19, Lines Cleared: 188
Score: 168420, Level: 18, Lines Cleared: 174
Score: 32880, Level: 5, Lines Cleared: 48
Score: 623600, Level: 29, Lines Cleared: 350
Score: 25400, Level: 5, Lines Cleared: 46
Score: 171840, Level: 16, Lines Cleared: 153
Score: 113420, Level: 12, Lines Cleared: 119
Score: 96240, Level: 10, Lines Cleared: 91
Score: 613540, Level: 29, Lines Cleared: 301
